    DATA    |   HORA   | DESCRIÇÃO 
 17/11/2011 | 21:05:56 | >>> INICIANDO O PROCESSAMENTO DO ADR
 17/11/2011 | 21:05:56 | Arrumando Tributação...
 17/11/2011 | 21:05:56 | GERANDO RELAÇÃO DAS DI'S REGISTRADAS
 17/11/2011 | 21:06:00 | CLIENTE: (103) AGGREKO BRASIL ENERGIA LTDA
 17/11/2011 | 21:06:00 | Verificando Processo: 00125/08
 17/11/2011 | 21:06:00 | CLIENTE: (148) AKER KVAERNER OIL & GAS DO BRASIL LTDA
 17/11/2011 | 21:06:00 | Verificando Processo: 04135/07
 17/11/2011 | 21:06:00 | CLIENTE: (46) ANDAIMES JIRAU LTDA
 17/11/2011 | 21:06:00 | Verificando Processo: 00118/09
 17/11/2011 | 21:06:01 | CLIENTE: (21) ASTROMARITIMA NAVEGAÇÃO S/A
 17/11/2011 | 21:06:01 | Verificando Processo: 02481/04
 17/11/2011 | 21:06:01 | Verificando Processo: 09557/09
 17/11/2011 | 21:06:01 | CLIENTE: (86) ASTROMARITIMA NAVEGAÇÃO S/A
 17/11/2011 | 21:06:01 | Verificando Processo: 13719/11
 17/11/2011 | 21:06:01 | Salvando arquivo: \\MSSERVER01\sistemas\MS2000\planilhas\ADR_MS13719_DI_1121826069.txt
 17/11/2011 | 21:06:01 | ERRO! Não houve envios.
 17/11/2011 | 21:06:01 | ERRO! Enviando aviso de Aguardando Contabilização ICMS
 17/11/2011 | 21:06:01 | Gravando e-Mail automático...
 17/11/2011 | 21:06:01 | CLIENTE: (21) ASTROMARITIMA NAVEGAÇÃO S/A
 17/11/2011 | 21:06:01 | Verificando Processo: 14854/11
 17/11/2011 | 21:06:02 | Salvando arquivo: \\MSSERVER01\sistemas\MS2000\planilhas\ADR_MS14854_DI_1121825984.txt
 17/11/2011 | 21:06:02 | ERRO! Não houve envios.
 17/11/2011 | 21:06:02 | ERRO! Enviando aviso de Aguardando Contabilização ICMS
 17/11/2011 | 21:06:02 | Gravando e-Mail automático...
 17/11/2011 | 21:06:02 | CLIENTE: (86) ASTROMARITIMA NAVEGAÇÃO S/A
 17/11/2011 | 21:06:02 | Verificando Processo: 15315/11
 17/11/2011 | 21:06:02 | Salvando arquivo: \\MSSERVER01\sistemas\MS2000\planilhas\ADR_MS15315_DI_1121825976.txt
 17/11/2011 | 21:06:02 | ERRO! Não houve envios.
 17/11/2011 | 21:06:02 | ERRO! Enviando aviso de Aguardando Contabilização ICMS
 17/11/2011 | 21:06:02 | Gravando e-Mail automático...
 17/11/2011 | 21:06:02 | CLIENTE: (187) BP ENERGY DO BRASIL LTDA.
 17/11/2011 | 21:06:02 | Verificando Processo: 00032/08
 17/11/2011 | 21:06:02 | Verificando Processo: 03098/08
 17/11/2011 | 21:06:02 | Verificando Processo: 03577/08
 17/11/2011 | 21:06:02 | Verificando Processo: 03581/08
 17/11/2011 | 21:06:02 | Verificando Processo: 04647/08
 17/11/2011 | 21:06:02 | CLIENTE: (252) BRASDRIL SOCIEDADE DE PERFURAÇÕES LTDA
 17/11/2011 | 21:06:02 | Verificando Processo: 00054/11
 17/11/2011 | 21:06:02 | Verificando Processo: 15833/11
 17/11/2011 | 21:06:03 | Salvando arquivo: \\MSSERVER01\sistemas\MS2000\planilhas\ADR_MS15833_DI_1121782940.txt
 17/11/2011 | 21:06:03 | Enviando confirmação do registro da DI do Processo: 15833/11; Responsável: Luciano Silva
 17/11/2011 | 21:06:03 | Gravando e-Mail automático...
 17/11/2011 | 21:06:03 | Não foram encontrados contatos da empresa.
 17/11/2011 | 21:06:03 | Enviando e-mail de aviso para o setor Operacional...
 17/11/2011 | 21:06:03 | Gravando e-Mail automático...
 17/11/2011 | 21:06:03 | Verificando Processo: 15835/11
 17/11/2011 | 21:06:03 | Salvando arquivo: \\MSSERVER01\sistemas\MS2000\planilhas\ADR_MS15835_DI_1121779974.txt
 17/11/2011 | 21:06:03 | Enviando confirmação do registro da DI do Processo: 15835/11; Responsável: Diogo Mello
 17/11/2011 | 21:06:03 | Gravando e-Mail automático...
 17/11/2011 | 21:06:03 | Não foram encontrados contatos da empresa.
 17/11/2011 | 21:06:03 | Enviando e-mail de aviso para o setor Operacional...
 17/11/2011 | 21:06:03 | Gravando e-Mail automático...
 17/11/2011 | 21:06:03 | Verificando Processo: 15836/11
 17/11/2011 | 21:06:03 | Salvando arquivo: \\MSSERVER01\sistemas\MS2000\planilhas\ADR_MS15836_DI_1121793756.txt
 17/11/2011 | 21:06:03 | Enviando confirmação do registro da DI do Processo: 15836/11; Responsável: Luciano Silva
 17/11/2011 | 21:06:03 | Gravando e-Mail automático...
 17/11/2011 | 21:06:03 | Não foram encontrados contatos da empresa.
 17/11/2011 | 21:06:03 | Enviando e-mail de aviso para o setor Operacional...
 17/11/2011 | 21:06:03 | Gravando e-Mail automático...
 17/11/2011 | 21:06:03 | Verificando Processo: 15837/11
 17/11/2011 | 21:06:03 | Salvando arquivo: \\MSSERVER01\sistemas\MS2000\planilhas\ADR_MS15837_DI_1121779460.txt
 17/11/2011 | 21:06:03 | Enviando confirmação do registro da DI do Processo: 15837/11; Responsável: Adriana Vitório Monteiro
 17/11/2011 | 21:06:03 | Gravando e-Mail automático...
 17/11/2011 | 21:06:03 | Não foram encontrados contatos da empresa.
 17/11/2011 | 21:06:03 | Enviando e-mail de aviso para o setor Operacional...
 17/11/2011 | 21:06:03 | Gravando e-Mail automático...
 17/11/2011 | 21:06:04 | Verificando Processo: 15861/11
 17/11/2011 | 21:06:04 | Salvando arquivo: \\MSSERVER01\sistemas\MS2000\planilhas\ADR_MS15861_DI_1121788868.txt
 17/11/2011 | 21:06:04 | Enviando confirmação do registro da DI do Processo: 15861/11; Responsável: Luciano Silva
 17/11/2011 | 21:06:04 | Gravando e-Mail automático...
 17/11/2011 | 21:06:04 | Não foram encontrados contatos da empresa.
 17/11/2011 | 21:06:04 | Enviando e-mail de aviso para o setor Operacional...
 17/11/2011 | 21:06:04 | Gravando e-Mail automático...
 17/11/2011 | 21:06:04 | Verificando Processo: 15868/11
 17/11/2011 | 21:06:04 | Salvando arquivo: \\MSSERVER01\sistemas\MS2000\planilhas\ADR_MS15868_DI_1121786199.txt
 17/11/2011 | 21:06:04 | Enviando confirmação do registro da DI do Processo: 15868/11; Responsável: Luciano Silva
 17/11/2011 | 21:06:04 | Gravando e-Mail automático...
 17/11/2011 | 21:06:04 | Não foram encontrados contatos da empresa.
 17/11/2011 | 21:06:04 | Enviando e-mail de aviso para o setor Operacional...
 17/11/2011 | 21:06:04 | Gravando e-Mail automático...
 17/11/2011 | 21:06:04 | CLIENTE: (238) BW OFFSHORE DO BRASIL LTDA
