    DATA    |   HORA   | DESCRIÇÃO 
 12/11/2012 | 10:17:40 | >>> INICIANDO O PROCESSAMENTO DO ADR
 12/11/2012 | 10:17:41 | Arrumando Tributação...
 12/11/2012 | 10:17:42 | GERANDO RELAÇÃO DAS DI'S REGISTRADAS
 12/11/2012 | 10:17:48 | CLIENTE: (223) ACAMIN NAVEGAÇÃO E SERVIÇOS MARÍTIMOS LTDA
 12/11/2012 | 10:17:48 | Verificando Processo: 09638/12
 12/11/2012 | 10:17:48 | Salvando arquivo: \\MSSERVER01\sistemas\MS2000\planilhas\ADR_MS09638_DI_1221129912.txt
 12/11/2012 | 10:17:48 | ERRO! Não houve envios.
 12/11/2012 | 10:17:48 | ERRO! Enviando aviso de Aguardando Contabilização ICMS
 12/11/2012 | 10:17:48 | Gravando e-Mail automático...
 12/11/2012 | 10:17:50 | Verificando Processo: 12883/12
 12/11/2012 | 10:17:51 | Salvando arquivo: \\MSSERVER01\sistemas\MS2000\planilhas\ADR_MS12883_DI_1221128070.txt
 12/11/2012 | 10:17:51 | ERRO! Não houve envios.
 12/11/2012 | 10:17:51 | ERRO! Enviando aviso de Aguardando Contabilização ICMS
 12/11/2012 | 10:17:51 | Gravando e-Mail automático...
 12/11/2012 | 10:17:51 | Verificando Processo: 13329/12
 12/11/2012 | 10:17:51 | Salvando arquivo: \\MSSERVER01\sistemas\MS2000\planilhas\ADR_MS13329_DI_1221128860.txt
 12/11/2012 | 10:17:51 | ERRO! Não houve envios.
 12/11/2012 | 10:17:51 | ERRO! Enviando aviso de Aguardando Contabilização ICMS
 12/11/2012 | 10:17:51 | Gravando e-Mail automático...
 12/11/2012 | 10:17:51 | Verificando Processo: 13520/12
 12/11/2012 | 10:17:51 | Salvando arquivo: \\MSSERVER01\sistemas\MS2000\planilhas\ADR_MS13520_DI_1221128843.txt
 12/11/2012 | 10:17:51 | ERRO! Não houve envios.
 12/11/2012 | 10:17:51 | ERRO! Enviando aviso de Aguardando Contabilização ICMS
 12/11/2012 | 10:17:51 | Gravando e-Mail automático...
 12/11/2012 | 10:17:51 | Verificando Processo: 14060/12
 12/11/2012 | 10:17:51 | Salvando arquivo: \\MSSERVER01\sistemas\MS2000\planilhas\ADR_MS14060_DI_1221089953.txt
 12/11/2012 | 10:17:51 | Enviando confirmação do registro da DI do Processo: 14060/12; Responsável: Jocinei Mata
 12/11/2012 | 10:17:51 | Gravando e-Mail automático...
 12/11/2012 | 10:17:52 | Não foram encontrados contatos da empresa.
 12/11/2012 | 10:17:52 | Enviando e-mail de aviso para o setor Operacional...
 12/11/2012 | 10:17:52 | Gravando e-Mail automático...
 12/11/2012 | 10:17:52 | CLIENTE: (103) AGGREKO BRASIL ENERGIA LTDA
 12/11/2012 | 10:17:52 | Verificando Processo: 00125/08
 12/11/2012 | 10:17:52 | CLIENTE: (148) AKER KVAERNER OIL & GAS DO BRASIL LTDA
 12/11/2012 | 10:17:52 | Verificando Processo: 04135/07
 12/11/2012 | 10:17:52 | CLIENTE: (46) ANDAIMES JIRAU LTDA
 12/11/2012 | 10:17:52 | Verificando Processo: 00118/09
 12/11/2012 | 10:17:52 | CLIENTE: (21) ASTROMARITIMA NAVEGAÇÃO S/A
 12/11/2012 | 10:17:52 | Verificando Processo: 02481/04
 12/11/2012 | 10:17:52 | Verificando Processo: 09557/09
 12/11/2012 | 10:17:52 | CLIENTE: (168) BCH ENERGY DO BRASIL SERVIÇOS DE PETRÓLEO LTDA.
 12/11/2012 | 10:17:53 | Verificando Processo: 14264/12
 12/11/2012 | 10:17:53 | Salvando arquivo: \\MSSERVER01\sistemas\MS2000\planilhas\ADR_MS14264_DI_1221099746.txt
 12/11/2012 | 10:17:53 | Enviando confirmação do registro da DI do Processo: 14264/12; Responsável: Leonardo Camargo
 12/11/2012 | 10:17:53 | Gravando e-Mail automático...
 12/11/2012 | 10:17:53 | Não foram encontrados contatos da empresa.
 12/11/2012 | 10:17:53 | Enviando e-mail de aviso para o setor Operacional...
 12/11/2012 | 10:17:53 | Gravando e-Mail automático...
 12/11/2012 | 10:17:53 | CLIENTE: (187) BP ENERGY DO BRASIL LTDA.
 12/11/2012 | 10:17:53 | Verificando Processo: 00032/08
 12/11/2012 | 10:17:53 | Verificando Processo: 03098/08
 12/11/2012 | 10:17:53 | Verificando Processo: 03577/08
 12/11/2012 | 10:17:53 | Verificando Processo: 03581/08
 12/11/2012 | 10:17:53 | Verificando Processo: 04647/08
 12/11/2012 | 10:17:54 | CLIENTE: (252) BRASDRIL SOCIEDADE DE PERFURAÇÕES LTDA
 12/11/2012 | 10:17:54 | Verificando Processo: 00054/11
 12/11/2012 | 10:17:54 | CLIENTE: (238) BW OFFSHORE DO BRASIL LTDA
 12/11/2012 | 10:17:54 | Verificando Processo: 03532/09
 12/11/2012 | 10:17:54 | Verificando Processo: 10516/12
 12/11/2012 | 10:17:54 | Salvando arquivo: \\MSSERVER01\sistemas\MS2000\planilhas\ADR_MS10516_DI_1221119950.txt
 12/11/2012 | 10:17:54 | Enviando confirmação do registro da DI do Processo: 10516/12; Responsável: Thiago Gomes
 12/11/2012 | 10:17:54 | Gravando e-Mail automático...
 12/11/2012 | 10:17:54 | Enviando e-mails para contatos das empresas...
 12/11/2012 | 10:17:54 | CONTATO: Angelita martins
 12/11/2012 | 10:17:54 | Gravando e-Mail automático...
 12/11/2012 | 10:17:54 | CONTATO: Franklin bezerra
 12/11/2012 | 10:17:54 | Gravando e-Mail automático...
 12/11/2012 | 10:17:54 | CONTATO: Heysa marques
 12/11/2012 | 10:17:54 | Gravando e-Mail automático...
 12/11/2012 | 10:17:54 | CONTATO: Rodrigo fahham
 12/11/2012 | 10:17:54 | Gravando e-Mail automático...
 12/11/2012 | 10:17:54 | CONTATO: suellen santos
 12/11/2012 | 10:17:54 | Gravando e-Mail automático...
 12/11/2012 | 10:17:54 | Verificando Processo: 12513/12
 12/11/2012 | 10:17:55 | Salvando arquivo: \\MSSERVER01\sistemas\MS2000\planilhas\ADR_MS12513_DI_1221072066.txt
 12/11/2012 | 10:17:55 | Enviando confirmação do registro da DI do Processo: 12513/12; Responsável: Diego Aguiar
 12/11/2012 | 10:17:55 | Gravando e-Mail automático...
 12/11/2012 | 10:17:55 | Enviando e-mails para contatos das empresas...
 12/11/2012 | 10:17:55 | CONTATO: Angelita martins
 12/11/2012 | 10:17:55 | Gravando e-Mail automático...
 12/11/2012 | 10:17:55 | CONTATO: Franklin bezerra
 12/11/2012 | 10:17:55 | Gravando e-Mail automático...
 12/11/2012 | 10:17:55 | CONTATO: Heysa marques
