    DATA    |   HORA   | DESCRIÇÃO 
 16/02/2012 | 10:17:16 | >>> INICIANDO O PROCESSAMENTO DO ADR
 16/02/2012 | 10:17:16 | Arrumando Tributação...
 16/02/2012 | 10:17:16 | GERANDO RELAÇÃO DAS DI'S REGISTRADAS
 16/02/2012 | 10:17:37 | CLIENTE: (172) INTERMOOR DO BRASIL SERVIÇOS OFFSHORE DE INSTALAÇÃO LTDA.
 16/02/2012 | 10:18:20 | >>> INICIANDO O PROCESSAMENTO DO ADR
 16/02/2012 | 10:18:21 | Arrumando Tributação...
 16/02/2012 | 10:18:21 | GERANDO RELAÇÃO DAS DI'S REGISTRADAS
 16/02/2012 | 10:18:26 | CLIENTE: (172) INTERMOOR DO BRASIL SERVIÇOS OFFSHORE DE INSTALAÇÃO LTDA.
 16/02/2012 | 10:18:29 | Verificando Processo: 13857/11
 16/02/2012 | 10:18:30 | Salvando arquivo: \\MSSERVER01\sistemas\MS2000\planilhas\ADR_MS13857_DI_1200855363.txt
 16/02/2012 | 10:18:30 | ERRO! Enviando Erro no Processo: 13857/11; Responsável: Alessandro Felix
 16/02/2012 | 10:18:30 | Gravando e-Mail automático...
 16/02/2012 | 10:18:40 | >>> FINALIZANDO O PROCESSAMENTO DO ADR
 16/02/2012 | 10:21:43 | >>> INICIANDO O PROCESSAMENTO DO ADR
 16/02/2012 | 10:21:43 | Arrumando Tributação...
 16/02/2012 | 10:21:43 | GERANDO RELAÇÃO DAS DI'S REGISTRADAS
 16/02/2012 | 10:21:47 | CLIENTE: (172) INTERMOOR DO BRASIL SERVIÇOS OFFSHORE DE INSTALAÇÃO LTDA.
 16/02/2012 | 10:21:48 | Verificando Processo: 13857/11
 16/02/2012 | 10:23:46 | Salvando arquivo: \\MSSERVER01\sistemas\MS2000\planilhas\ADR_MS13857_DI_1200855363.txt
 16/02/2012 | 10:24:28 | ERRO! Enviando Erro no Processo: 13857/11; Responsável: Alessandro Felix
 16/02/2012 | 10:24:31 | Gravando e-Mail automático...
 16/02/2012 | 10:24:33 | >>> FINALIZANDO O PROCESSAMENTO DO ADR
 16/02/2012 | 10:58:14 | >>> INICIANDO O PROCESSAMENTO DO ADR
 16/02/2012 | 10:58:14 | Arrumando Tributação...
 16/02/2012 | 10:58:14 | GERANDO RELAÇÃO DAS DI'S REGISTRADAS
 16/02/2012 | 10:58:44 | CLIENTE: (172) INTERMOOR DO BRASIL SERVIÇOS OFFSHORE DE INSTALAÇÃO LTDA.
 16/02/2012 | 10:58:48 | Verificando Processo: 13857/11
 16/02/2012 | 10:59:23 | Salvando arquivo: \\MSSERVER01\sistemas\MS2000\planilhas\ADR_MS13857_DI_1200855363.txt
 16/02/2012 | 10:59:42 | ERRO! Enviando Erro no Processo: 13857/11; Responsável: Alessandro Felix
 16/02/2012 | 10:59:52 | Gravando e-Mail automático...
 16/02/2012 | 11:00:07 | ERRO! Enviando aviso de Aguardando Contabilização ICMS
 16/02/2012 | 11:00:07 | Gravando e-Mail automático...
 16/02/2012 | 11:00:08 | >>> FINALIZANDO O PROCESSAMENTO DO ADR
 16/02/2012 | 11:00:35 | >>> INICIANDO O PROCESSAMENTO DO ADR
 16/02/2012 | 11:00:35 | Arrumando Tributação...
 16/02/2012 | 11:00:35 | GERANDO RELAÇÃO DAS DI'S REGISTRADAS
 16/02/2012 | 11:00:36 | CLIENTE: (172) INTERMOOR DO BRASIL SERVIÇOS OFFSHORE DE INSTALAÇÃO LTDA.
 16/02/2012 | 11:00:37 | Verificando Processo: 13857/11
 16/02/2012 | 11:00:37 | >>> FINALIZANDO O PROCESSAMENTO DO ADR
 16/02/2012 | 11:00:40 | >>> INICIANDO O PROCESSAMENTO DO ADR
 16/02/2012 | 11:00:40 | Arrumando Tributação...
 16/02/2012 | 11:00:40 | GERANDO RELAÇÃO DAS DI'S REGISTRADAS
 16/02/2012 | 11:00:42 | CLIENTE: (172) INTERMOOR DO BRASIL SERVIÇOS OFFSHORE DE INSTALAÇÃO LTDA.
 16/02/2012 | 11:00:43 | Verificando Processo: 13857/11
 16/02/2012 | 11:00:43 | >>> FINALIZANDO O PROCESSAMENTO DO ADR
 16/02/2012 | 11:02:17 | >>> INICIANDO O PROCESSAMENTO DO ADR
 16/02/2012 | 11:02:17 | Arrumando Tributação...
 16/02/2012 | 11:02:17 | GERANDO RELAÇÃO DAS DI'S REGISTRADAS
 16/02/2012 | 11:02:18 | CLIENTE: (172) INTERMOOR DO BRASIL SERVIÇOS OFFSHORE DE INSTALAÇÃO LTDA.
 16/02/2012 | 11:02:18 | Verificando Processo: 13857/11
 16/02/2012 | 11:02:20 | >>> FINALIZANDO O PROCESSAMENTO DO ADR
 16/02/2012 | 11:03:02 | >>> INICIANDO O PROCESSAMENTO DO ADR
 16/02/2012 | 11:03:03 | Arrumando Tributação...
 16/02/2012 | 11:03:03 | GERANDO RELAÇÃO DAS DI'S REGISTRADAS
 16/02/2012 | 11:03:04 | CLIENTE: (172) INTERMOOR DO BRASIL SERVIÇOS OFFSHORE DE INSTALAÇÃO LTDA.
 16/02/2012 | 11:03:05 | Verificando Processo: 13857/11
 16/02/2012 | 11:03:09 | >>> FINALIZANDO O PROCESSAMENTO DO ADR
 16/02/2012 | 11:04:00 | >>> INICIANDO O PROCESSAMENTO DO ADR
 16/02/2012 | 11:04:01 | Arrumando Tributação...
 16/02/2012 | 11:04:01 | GERANDO RELAÇÃO DAS DI'S REGISTRADAS
 16/02/2012 | 11:04:03 | CLIENTE: (172) INTERMOOR DO BRASIL SERVIÇOS OFFSHORE DE INSTALAÇÃO LTDA.
 16/02/2012 | 11:04:04 | Verificando Processo: 13857/11
 16/02/2012 | 11:04:09 | >>> FINALIZANDO O PROCESSAMENTO DO ADR
 16/02/2012 | 11:11:11 | >>> INICIANDO O PROCESSAMENTO DO ADR
 16/02/2012 | 11:11:11 | Arrumando Tributação...
 16/02/2012 | 11:11:11 | GERANDO RELAÇÃO DAS DI'S REGISTRADAS
 16/02/2012 | 11:11:12 | CLIENTE: (172) INTERMOOR DO BRASIL SERVIÇOS OFFSHORE DE INSTALAÇÃO LTDA.
 16/02/2012 | 11:11:13 | Verificando Processo: 13857/11
 16/02/2012 | 11:11:16 | Salvando arquivo: \\MSSERVER01\sistemas\MS2000\planilhas\ADR_MS13857_DI_1200855363.txt
 16/02/2012 | 11:19:46 | >>> INICIANDO O PROCESSAMENTO DO ADR
 16/02/2012 | 11:19:47 | Arrumando Tributação...
 16/02/2012 | 11:19:47 | GERANDO RELAÇÃO DAS DI'S REGISTRADAS
 16/02/2012 | 11:19:48 | CLIENTE: (172) INTERMOOR DO BRASIL SERVIÇOS OFFSHORE DE INSTALAÇÃO LTDA.
 16/02/2012 | 11:19:48 | Verificando Processo: 13857/11
 16/02/2012 | 11:20:01 | >>> FINALIZANDO O PROCESSAMENTO DO ADR
 16/02/2012 | 11:20:25 | >>> INICIANDO O PROCESSAMENTO DO ADR
 16/02/2012 | 11:20:25 | Arrumando Tributação...
 16/02/2012 | 11:20:25 | GERANDO RELAÇÃO DAS DI'S REGISTRADAS
 16/02/2012 | 11:20:27 | CLIENTE: (172) INTERMOOR DO BRASIL SERVIÇOS OFFSHORE DE INSTALAÇÃO LTDA.
 16/02/2012 | 11:20:27 | Verificando Processo: 13857/11
 16/02/2012 | 11:20:32 | >>> FINALIZANDO O PROCESSAMENTO DO ADR
 16/02/2012 | 11:47:11 | >>> INICIANDO O PROCESSAMENTO DO ADR
 16/02/2012 | 11:47:11 | Arrumando Tributação...
 16/02/2012 | 11:47:12 | GERANDO RELAÇÃO DAS DI'S REGISTRADAS
 16/02/2012 | 11:47:12 | CLIENTE: (172) INTERMOOR DO BRASIL SERVIÇOS OFFSHORE DE INSTALAÇÃO LTDA.
 16/02/2012 | 11:47:12 | Verificando Processo: 13857/11
 16/02/2012 | 11:47:13 | Salvando arquivo: \\MSSERVER01\sistemas\MS2000\planilhas\ADR_MS13857_DI_1200855363.txt
 16/02/2012 | 11:47:37 | >>> INICIANDO O PROCESSAMENTO DO ADR
 16/02/2012 | 11:47:38 | Arrumando Tributação...
 16/02/2012 | 11:47:38 | GERANDO RELAÇÃO DAS DI'S REGISTRADAS
 16/02/2012 | 11:47:38 | CLIENTE: (172) INTERMOOR DO BRASIL SERVIÇOS OFFSHORE DE INSTALAÇÃO LTDA.
 16/02/2012 | 11:47:38 | Verificando Processo: 13857/11
 16/02/2012 | 11:47:38 | Salvando arquivo: \\MSSERVER01\sistemas\MS2000\planilhas\ADR_MS13857_DI_1200855363.txt
 16/02/2012 | 11:49:26 | Enviando confirmação do registro da DI do Processo: 13857/11; Responsável: Alessandro Felix
 16/02/2012 | 11:49:26 | Gravando e-Mail automático...
 16/02/2012 | 11:49:26 | Não foram encontrados contatos da empresa.
 16/02/2012 | 11:49:26 | Enviando e-mail de aviso para o setor Operacional...
 16/02/2012 | 11:49:26 | Gravando e-Mail automático...
 16/02/2012 | 11:49:26 | >>> FINALIZANDO O PROCESSAMENTO DO ADR
