    DATA    |   HORA   | DESCRIÇÃO 
 27/05/2013 | 14:37:22 | >>> INICIANDO O PROCESSAMENTO DO ADR
 27/05/2013 | 14:37:23 | Arrumando Tributação...
 27/05/2013 | 14:37:23 | GERANDO RELAÇÃO DAS DI'S REGISTRADAS
 27/05/2013 | 14:37:28 | CLIENTE: (103) AGGREKO BRASIL ENERGIA LTDA
 27/05/2013 | 14:37:28 | Verificando Processo: 00125/08
 27/05/2013 | 14:37:28 | CLIENTE: (148) AKER KVAERNER OIL & GAS DO BRASIL LTDA
 27/05/2013 | 14:37:28 | Verificando Processo: 04135/07
 27/05/2013 | 14:37:28 | CLIENTE: (46) ANDAIMES JIRAU LTDA
 27/05/2013 | 14:37:28 | Verificando Processo: 00118/09
 27/05/2013 | 14:37:28 | CLIENTE: (21) ASTROMARITIMA NAVEGAÇÃO S/A
 27/05/2013 | 14:37:28 | Verificando Processo: 02481/04
 27/05/2013 | 14:37:28 | Verificando Processo: 09557/09
 27/05/2013 | 14:37:28 | CLIENTE: (187) BP ENERGY DO BRASIL LTDA.
 27/05/2013 | 14:37:28 | Verificando Processo: 00032/08
 27/05/2013 | 14:37:28 | Verificando Processo: 03098/08
 27/05/2013 | 14:37:28 | Verificando Processo: 03577/08
 27/05/2013 | 14:37:28 | Verificando Processo: 03581/08
 27/05/2013 | 14:37:28 | Verificando Processo: 04647/08
 27/05/2013 | 14:37:28 | Verificando Processo: 16602/12
 27/05/2013 | 14:37:28 | Salvando arquivo: \\MSSERVER01\sistemas\MS2000\planilhas\ADR_MS16602_DI_1303515069.txt
 27/05/2013 | 14:38:02 | ERRO! Enviando Erro no Processo: 16602/12; Responsável: Marcio Moreira
 27/05/2013 | 14:38:02 | Gravando e-Mail automático...
 27/05/2013 | 14:38:03 | CLIENTE: (252) BRASDRIL SOCIEDADE DE PERFURAÇÕES LTDA
 27/05/2013 | 14:38:03 | Verificando Processo: 00054/11
 27/05/2013 | 14:38:03 | Verificando Processo: 07068/13
 27/05/2013 | 14:38:03 | Salvando arquivo: \\MSSERVER01\sistemas\MS2000\planilhas\ADR_MS07068_DI_1310109372.txt
 27/05/2013 | 14:38:09 | ERRO! Não houve envios.
 27/05/2013 | 14:38:09 | ERRO! Enviando aviso de Aguardando Contabilização ICMS
 27/05/2013 | 14:38:09 | Gravando e-Mail automático...
 27/05/2013 | 14:38:09 | Verificando Processo: 07106/13
 27/05/2013 | 14:38:10 | Salvando arquivo: \\MSSERVER01\sistemas\MS2000\planilhas\ADR_MS07106_DI_1310109224.txt
 27/05/2013 | 14:38:10 | ERRO! Não houve envios.
 27/05/2013 | 14:38:10 | ERRO! Enviando aviso de Aguardando Contabilização ICMS
 27/05/2013 | 14:38:10 | Gravando e-Mail automático...
 27/05/2013 | 14:38:10 | Verificando Processo: 07110/13
 27/05/2013 | 14:38:10 | Salvando arquivo: \\MSSERVER01\sistemas\MS2000\planilhas\ADR_MS07110_DI_1310083640.txt
 27/05/2013 | 14:38:10 | Enviando confirmação do registro da DI do Processo: 07110/13; Responsável: Felipe Carvalho
 27/05/2013 | 14:38:10 | Gravando e-Mail automático...
 27/05/2013 | 14:38:10 | Enviando e-mails para contatos das empresas...
 27/05/2013 | 14:38:10 | CONTATO: Esmeralda Silva
 27/05/2013 | 14:38:55 | >>> INICIANDO O PROCESSAMENTO DO ADR
 27/05/2013 | 14:38:55 | Arrumando Tributação...
 27/05/2013 | 14:38:55 | GERANDO RELAÇÃO DAS DI'S REGISTRADAS
 27/05/2013 | 14:39:00 | CLIENTE: (103) AGGREKO BRASIL ENERGIA LTDA
 27/05/2013 | 14:39:00 | Verificando Processo: 00125/08
 27/05/2013 | 14:39:00 | CLIENTE: (148) AKER KVAERNER OIL & GAS DO BRASIL LTDA
