    DATA    |   HORA   | DESCRIÇÃO 
 13/11/2012 | 10:16:03 | >>> INICIANDO O PROCESSAMENTO DO ADR
 13/11/2012 | 10:16:03 | Arrumando Tributação...
 13/11/2012 | 10:16:03 | GERANDO RELAÇÃO DAS DI'S REGISTRADAS
 13/11/2012 | 10:17:19 | >>> INICIANDO O PROCESSAMENTO DO ADR
 13/11/2012 | 10:17:19 | Arrumando Tributação...
 13/11/2012 | 10:17:20 | GERANDO RELAÇÃO DAS DI'S REGISTRADAS
 13/11/2012 | 10:17:47 | >>> INICIANDO O PROCESSAMENTO DO ADR
 13/11/2012 | 10:17:48 | Arrumando Tributação...
 13/11/2012 | 10:17:48 | GERANDO RELAÇÃO DAS DI'S REGISTRADAS
 13/11/2012 | 10:17:57 | CLIENTE: (103) AGGREKO BRASIL ENERGIA LTDA
 13/11/2012 | 10:18:02 | Verificando Processo: 00125/08
 13/11/2012 | 10:35:55 | >>> INICIANDO O PROCESSAMENTO DO ADR
 13/11/2012 | 10:35:55 | Arrumando Tributação...
 13/11/2012 | 10:35:56 | GERANDO RELAÇÃO DAS DI'S REGISTRADAS
 13/11/2012 | 10:35:58 | CLIENTE: (103) AGGREKO BRASIL ENERGIA LTDA
 13/11/2012 | 10:35:58 | Verificando Processo: 00125/08
 13/11/2012 | 10:35:58 | CLIENTE: (148) AKER KVAERNER OIL & GAS DO BRASIL LTDA
 13/11/2012 | 10:35:58 | Verificando Processo: 04135/07
 13/11/2012 | 10:35:58 | CLIENTE: (46) ANDAIMES JIRAU LTDA
 13/11/2012 | 10:35:58 | Verificando Processo: 00118/09
 13/11/2012 | 10:35:58 | CLIENTE: (21) ASTROMARITIMA NAVEGAÇÃO S/A
 13/11/2012 | 10:35:58 | Verificando Processo: 02481/04
 13/11/2012 | 10:35:58 | CLIENTE: (187) BP ENERGY DO BRASIL LTDA.
 13/11/2012 | 10:35:58 | Verificando Processo: 00032/08
 13/11/2012 | 10:35:58 | Verificando Processo: 03098/08
 13/11/2012 | 10:35:58 | Verificando Processo: 03577/08
 13/11/2012 | 10:35:58 | Verificando Processo: 03581/08
 13/11/2012 | 10:35:58 | Verificando Processo: 04647/08
 13/11/2012 | 10:35:58 | CLIENTE: (238) BW OFFSHORE DO BRASIL LTDA
 13/11/2012 | 10:35:58 | Verificando Processo: 03532/09
 13/11/2012 | 10:35:58 | CLIENTE: (126) C & C TECHNOLOGIES DO BRASIL LTDA
 13/11/2012 | 10:35:58 | Verificando Processo: 00906/09
 13/11/2012 | 10:35:58 | Verificando Processo: 01844/06
 13/11/2012 | 10:35:58 | Verificando Processo: 01958/05
 13/11/2012 | 10:35:59 | Verificando Processo: 02078/09
 13/11/2012 | 10:35:59 | Verificando Processo: 02260/06
 13/11/2012 | 10:35:59 | CLIENTE: (7) CGG DO BRASIL PARTICIPAÇÕES LTDA
 13/11/2012 | 10:35:59 | Verificando Processo: 01402/07
 13/11/2012 | 10:35:59 | Verificando Processo: 02180/07
 13/11/2012 | 10:35:59 | Verificando Processo: 02807/09
 13/11/2012 | 10:35:59 | Verificando Processo: 03612/08
