    DATA    |   HORA   | DESCRIÇÃO 
 18/10/2011 | 10:38:30 | >>> INICIANDO O PROCESSAMENTO DO APA
 18/10/2011 | 10:38:30 | Gerando e-mail para: Leandro Serra...
 18/10/2011 | 10:38:30 | Verificando Processos abertos no período de: 1 dias...
 18/10/2011 | 10:38:34 | Não foram encontrados processos abertos no período!
 18/10/2011 | 10:38:34 | Gerando e-mail para: Manuel Marques...
 18/10/2011 | 10:38:34 | Verificando Processos abertos no período de: 1 dias...
 18/10/2011 | 10:38:34 | Não foram encontrados processos abertos no período!
 18/10/2011 | 10:38:34 | Gerando e-mail para: Maria Eduarda...
 18/10/2011 | 10:38:34 | Verificando Processos abertos no período de: 1 dias...
 18/10/2011 | 10:38:34 | Não foram encontrados processos abertos no período!
 18/10/2011 | 10:38:34 | Gerando e-mail para: Odilma Queiroz...
 18/10/2011 | 10:38:34 | Verificando Processos abertos no período de: 1 dias...
 18/10/2011 | 10:38:34 | Não foram encontrados processos abertos no período!
 18/10/2011 | 10:38:34 | >>> FINALIZANDO O PROCESSAMENTO DO APA
