    DATA    |   HORA   | DESCRIÇÃO 
 16/11/2011 | 09:57:12 | >>> INICIANDO O PROCESSAMENTO DO APA
 16/11/2011 | 09:58:42 | Gerando e-mail para: Maria Eduarda...
 16/11/2011 | 09:59:18 | Verificando Processos abertos no período de: 1 dias...
 16/11/2011 | 09:59:45 | Não foram encontrados processos abertos no período!
 16/11/2011 | 10:01:00 | Gerando e-mail para: Leandro Serra...
 16/11/2011 | 10:01:01 | Verificando Processos abertos no período de: 1 dias...
 16/11/2011 | 10:01:02 | Não foram encontrados processos abertos no período!
 16/11/2011 | 10:01:02 | Gerando e-mail para: Manuel Marques...
 16/11/2011 | 10:01:03 | Verificando Processos abertos no período de: 1 dias...
 16/11/2011 | 10:01:11 | Não foram encontrados processos abertos no período!
 16/11/2011 | 10:01:19 | Gerando e-mail para: Odilma Queiroz...
 16/11/2011 | 10:01:24 | Verificando Processos abertos no período de: 1 dias...
 16/11/2011 | 10:01:48 | Não foram encontrados processos abertos no período!
 16/11/2011 | 10:06:37 | >>> INICIANDO O PROCESSAMENTO DO APA
 16/11/2011 | 10:07:03 | >>> FINALIZANDO O PROCESSAMENTO DO APA
 16/11/2011 | 10:07:04 | >>> INICIANDO O PROCESSAMENTO DO APA
 16/11/2011 | 10:07:05 | >>> FINALIZANDO O PROCESSAMENTO DO APA
 16/11/2011 | 10:07:06 | >>> INICIANDO O PROCESSAMENTO DO APA
 16/11/2011 | 10:07:08 | >>> FINALIZANDO O PROCESSAMENTO DO APA
 16/11/2011 | 10:07:09 | >>> INICIANDO O PROCESSAMENTO DO APA
