    DATA    |   HORA   | DESCRI플O 
 27/08/2012 | 10:30:08 | >>> INICIANDO O PROCESSAMENTO DO AFAT
 27/08/2012 | 10:30:08 | GERANDO PLANILHA AUTOM햀ICA - AFAT
 27/08/2012 | 10:30:52 | >>> INICIANDO O PROCESSAMENTO DO AFAT
 27/08/2012 | 10:30:52 | GERANDO PLANILHA AUTOM햀ICA - AFAT
 27/08/2012 | 10:31:51 | >>> INICIANDO O PROCESSAMENTO DO AFAT
 27/08/2012 | 10:31:51 | GERANDO PLANILHA AUTOM햀ICA - AFAT
 27/08/2012 | 10:32:11 | >>> INICIANDO O PROCESSAMENTO DO AFAT
 27/08/2012 | 10:32:11 | GERANDO PLANILHA AUTOM햀ICA - AFAT
 27/08/2012 | 11:04:07 | EMAIL: Antonio Bibas
 27/08/2012 | 11:04:07 | EMAIL: Maria Eduarda
 27/08/2012 | 11:04:07 | EMAIL: Eli Junior
 27/08/2012 | 11:04:07 | EMAIL: Juan Silva
 27/08/2012 | 11:04:07 | EMAIL: Luiza Ferraz
 27/08/2012 | 11:04:07 | EMAIL: manuel marques
 27/08/2012 | 11:04:07 | EMAIL: Natasha Cunha
 27/08/2012 | 11:04:07 | EMAIL: Odilma Queiroz
 27/08/2012 | 11:04:07 | EMAIL: Welison Martins
 27/08/2012 | 11:04:07 | >>> FINALIZANDO O PROCESSAMENTO DO AFAT
 27/08/2012 | 11:05:08 | >>> INICIANDO O PROCESSAMENTO DO AFAT
 27/08/2012 | 11:05:08 | GERANDO PLANILHA AUTOM햀ICA - AFAT
