    DATA    |   HORA   | DESCRIÇÃO 
 28/05/2012 | 14:42:09 | >>> INICIANDO O PROCESSAMENTO DO ALC
 28/05/2012 | 14:42:09 | GERANDO RELAÇÃO DAS LIBERAÇÕES DE CARGAS
 28/05/2012 | 14:42:14 | CLIENTE: (2) TRANSOCEAN BRASIL LTDA
 28/05/2012 | 14:42:42 | >>> INICIANDO O PROCESSAMENTO DO ALC
 28/05/2012 | 14:42:42 | GERANDO RELAÇÃO DAS LIBERAÇÕES DE CARGAS
 28/05/2012 | 14:42:47 | CLIENTE: (2) TRANSOCEAN BRASIL LTDA
 28/05/2012 | 14:42:52 | Verificando Processo: 01722/12
 28/05/2012 | 16:37:00 | >>> INICIANDO O PROCESSAMENTO DO ALC
 28/05/2012 | 16:37:00 | GERANDO RELAÇÃO DAS LIBERAÇÕES DE CARGAS
 28/05/2012 | 16:37:05 | CLIENTE: (296) ODEBRECHT OLEO E GAS S/A
 28/05/2012 | 16:37:43 | >>> INICIANDO O PROCESSAMENTO DO ALC
 28/05/2012 | 16:37:43 | GERANDO RELAÇÃO DAS LIBERAÇÕES DE CARGAS
 28/05/2012 | 16:37:45 | CLIENTE: (296) ODEBRECHT OLEO E GAS S/A
 28/05/2012 | 16:37:50 | Verificando Processo: 06042/12
 28/05/2012 | 16:38:04 | CONTATO: brunna manhaes
 28/05/2012 | 16:39:32 | >>> INICIANDO O PROCESSAMENTO DO ALC
 28/05/2012 | 16:39:32 | GERANDO RELAÇÃO DAS LIBERAÇÕES DE CARGAS
 28/05/2012 | 16:40:28 | CLIENTE: (296) ODEBRECHT OLEO E GAS S/A
 28/05/2012 | 16:40:32 | Verificando Processo: 06042/12
 28/05/2012 | 16:40:41 | CONTATO: brunna manhaes
 28/05/2012 | 16:41:06 | Gravando e-Mail automático...
 28/05/2012 | 16:41:30 | Gravando e-Mail automático...
 28/05/2012 | 16:41:34 | CONTATO: daiana couto
 28/05/2012 | 16:42:04 | Gravando e-Mail automático...
 28/05/2012 | 16:42:04 | Gravando e-Mail automático...
 28/05/2012 | 16:42:04 | CONTATO: fernando filho
 28/05/2012 | 16:42:04 | Gravando e-Mail automático...
 28/05/2012 | 16:42:04 | Gravando e-Mail automático...
 28/05/2012 | 16:42:04 | CONTATO: Leonardo alabarce
 28/05/2012 | 16:42:04 | Gravando e-Mail automático...
 28/05/2012 | 16:42:04 | Gravando e-Mail automático...
 28/05/2012 | 16:42:04 | CONTATO: nathalia ribeiro
 28/05/2012 | 16:42:04 | Gravando e-Mail automático...
 28/05/2012 | 16:42:04 | Gravando e-Mail automático...
 28/05/2012 | 16:42:04 | Gravando e-Mail automático...
 28/05/2012 | 16:42:15 | >>> FINALIZANDO O PROCESSAMENTO DO ALC
 28/05/2012 | 16:55:29 | >>> INICIANDO O PROCESSAMENTO DO ALC
 28/05/2012 | 16:55:29 | GERANDO RELAÇÃO DAS LIBERAÇÕES DE CARGAS
 28/05/2012 | 16:55:39 | >>> FINALIZANDO O PROCESSAMENTO DO ALC
 28/05/2012 | 16:56:43 | >>> INICIANDO O PROCESSAMENTO DO ALC
 28/05/2012 | 16:56:43 | GERANDO RELAÇÃO DAS LIBERAÇÕES DE CARGAS
 28/05/2012 | 16:56:47 | CLIENTE: (296) ODEBRECHT OLEO E GAS S/A
 28/05/2012 | 16:56:51 | Verificando Processo: 06042/12
 28/05/2012 | 16:57:00 | CONTATO: Leonardo alabarce
 28/05/2012 | 16:57:22 | Gravando e-Mail automático...
 28/05/2012 | 16:57:29 | Gravando e-Mail automático...
 28/05/2012 | 17:01:14 | Gravando e-Mail automático...
 28/05/2012 | 17:01:21 | >>> FINALIZANDO O PROCESSAMENTO DO ALC
 28/05/2012 | 17:04:47 | >>> INICIANDO O PROCESSAMENTO DO ALC
 28/05/2012 | 17:04:47 | GERANDO RELAÇÃO DAS LIBERAÇÕES DE CARGAS
 28/05/2012 | 17:04:51 | CLIENTE: (252) BRASDRIL SOCIEDADE DE PERFURAÇÕES LTDA
 28/05/2012 | 17:04:54 | Verificando Processo: 14286/11
 28/05/2012 | 17:05:06 | CONTATO: Customs Inhouse
